ROME_Code,Nom,Adresse,Potentiel_d_embauche,Postal_Code
M1805,ADAMING SERVICES,"Service des ressources humaines, 2 RUE HEGEL, 59160 LILLE",4.7,59160
M1805,CAPGEMINI TECHNOLOGY SERVICES,"145 QUAI DU PRESIDENT ROOSEVELT, 92130 ISSY-LES-MOULINEAUX",4.8,92130
M1805,CAPGEMINI TECHNOLOGY SERVICES,"7 AVENUE MARIE LOUISE DELWAULLE, 59160 LILLE",4.7,59160
M1805,ONG CONSEIL,"12 RUE GERMAIN, 69006 LYON-06",4.6,69006
M1805,CENTRE EUROPEEN DE FORMATION,"Service des ressources humaines, 19 RUE NICOLAS APPERT, 59650 VILLENEUVE-D-ASCQ",4.5,59650
M1805,ASTEK,"Service des ressources humaines,  RUE DE LA TERRE VICTORIA, 35760 SAINT-GREGOIRE",4.5,35760
M1805,MEOSIS,"1 RUE DE LUGANO, 68180 HORBOURG-WIHR",4.5,68180
M1805,RENNES ATALANTE LES LANTHANIDES,"2 RUE CLAUDE CHAPPE, 35510 CESSON-SEVIGNE",4.5,35510
M1805,SOPRA STERIA GROUP,"Service des ressources humaines, 5 PLACE DE L IRIS, 92400 COURBEVOIE",4.7,92400
M1805,COLIBRI - MONECHELLE.COM,"Service des ressources humaines, 52 RUE BAYEN, 75017 PARIS-17",4.4,75017
M1805,CELAD,"Service des ressources humaines, 48 ROUTE DE LAVAUR, 31130 BALMA",4.5,31130
M1805,TESSI 2 M,"Service des ressources humaines, 5 RUE DE COIVREL, 60420 MAIGNELAY-MONTIGNY",4.5,60420
M1805,ARPEGE,"Service des ressources humaines, 13 RUE DE LA LOIRE, 44230 SAINT-SEBASTIEN-SUR-LOIRE",4.5,44230
M1805,ALTEN SUD OUEST," RUE ALAIN FOURNIER, 31300 TOULOUSE",4.5,31300
M1805,AVANADE FRANCE,"68 BD MARCEL PAUL LE LIBERT, 44800 SAINT-HERBLAIN",4.4,44800
M1805,HELPLINE,"148 AVENUE JEAN JAURES, 69007 LYON-07",4.4,69007
M1805,BIP TESSI,"Service des ressources humaines, 1 AVENUE DES SATELLITES, 33185 LE-HAILLAN",4.5,33185
M1805,SOPRA HR SOFTWARE,"Service des ressources humaines, 5 PLACE DE L IRIS, 92400 COURBEVOIE",4.5,92400
M1805,DEVOTEAM CUSTOMER EFFECTIVENESS,"73 RUE ANATOLE FRANCE, 92300 LEVALLOIS-PERRET",4.4,92300
M1204,MANPOWER (LOUVIERS),"16 RUE DU CORNU, 27400 LOUVIERS",2.5,27400
M1204,MANPOWER (EUROPE),"118 BOULEVARD DE L EUROPE, 76100 ROUEN",2.5,76100
M1204,ONG CONSEIL,"12 RUE GERMAIN, 69006 LYON-06",4.5,69006
M1204,CAPGEMINI TECHNOLOGY SERVICES,"145 QUAI DU PRESIDENT ROOSEVELT, 92130 ISSY-LES-MOULINEAUX",4.4,92130
M1204,PENELOPE L'AGENCE,"Service des ressources humaines, 39 BOULEVARD VAUBAN, 78280 GUYANCOURT",4.4,78280
M1204,FREE MOBILE,"Service des ressources humaines, 16 RUE DE LA VILLE L EVEQUE, 75008 PARIS-08",4.4,75008
M1204,AKSIS PROFIL EMPLOI PROFILEMPLOI,"18 RUE CHARLES PICARD, 02100 SAINT-QUENTIN",4.4,02100
M1204,ETIC EVENEMENT,"Service des ressources humaines, 21 RUE ELIE PELAS, 13016 MARSEILLE-16",4.5,13016
M1204,BPCE LEASE,"Service des ressources humaines, 4 PLACE DE LA COUPOLE, 94220 CHARENTON-LE-PONT",3.8,94220
M1204,AXA ASSISTANCE FRANCE,"Service des ressources humaines, 6 RUE ANDRE GIDE, 92320 CHATILLON",3.8,92320
M1204,CLINIQUE DE LA SAUVEGARDE,"Service des ressources humaines, 480 AVENUE BEN GOURION, 69009 LYON-09",3.8,69009
M1204,OPTEVEN,"Service des ressources humaines, 10 RUE OLYMPE DE GOUGES, 69100 VILLEURBANNE",3.8,69100
M1204,CAPGEMINI TECHNOLOGY SERVICES,"7 AVENUE MARIE LOUISE DELWAULLE, 59160 LILLE",3.6,59160
M1204,ALTEN SUD OUEST," RUE ALAIN FOURNIER, 31300 TOULOUSE",3.5,31300
M1204,WEBHELP,"Service des ressources humaines,  parc d activites d etrelles sud, 35370 ETRELLES",4.6,35370
M1204,CENTRE LECLERC,"Service des ressources humaines, 2 RUE BERNARD PALISSY, 54500 VANDOEUVRE-LES-NANCY",3.5,54500
M1204,SOPRA STERIA GROUP,"Service des ressources humaines, 5 PLACE DE L IRIS, 92400 COURBEVOIE",3.6,92400
M1204,SOCIETE D'EXPLOITATION HOTELIERE CHEVAL,"Service des ressources humaines, 24 RUE JEAN GOUJON, 75008 PARIS-08",3.5,75008
M1204,CHALLANCIN ACCUEIL ET SERVICES,"Service des ressources humaines, 2 AV DU PRESIDENT SALVADOR ALLENDE, 93100 MONTREUIL",3.8,93100
M1204,PACK SOLUTIONS,"Service des ressources humaines, 600 AVENUE DE GRAND ANGLES, 30133 LES-ANGLES",4.1,30133
M1201,ONG CONSEIL,"12 RUE GERMAIN, 69006 LYON-06",4.4,69006
M1201,LA BANQUE POSTALE FINANCEMENT,"Service des ressources humaines, 110 RUE AMBROISE CROIZAT, 93200 SAINT-DENIS",4.4,93200
M1201,ETIC EVENEMENT,"Service des ressources humaines, 21 RUE ELIE PELAS, 13016 MARSEILLE-16",4.4,13016
M1201,CAPGEMINI TECHNOLOGY SERVICES,"145 QUAI DU PRESIDENT ROOSEVELT, 92130 ISSY-LES-MOULINEAUX",3.8,92130
M1201,AKSIS PROFIL EMPLOI PROFILEMPLOI,"18 RUE CHARLES PICARD, 02100 SAINT-QUENTIN",4.1,02100
M1201,DIAC,"Service des ressources humaines, 14 AV DU PAVE NEUF, 93160 NOISY-LE-GRAND",3.8,93160
M1201,EUROTITRISATION,"Service des ressources humaines, 12 RUE JAMES WATT, 93200 SAINT-DENIS",3.6,93200
M1201,PACK SOLUTIONS,"Service des ressources humaines, 600 AVENUE DE GRAND ANGLES, 30133 LES-ANGLES",3.8,30133
M1201,BPIFRANCE,"Service des ressources humaines, 27 AVENUE DU GENERAL LECLERC, 94700 MAISONS-ALFORT",3.8,94700
M1201,DOMITYS NORD,"42 AV RAYMOND POINCARE, 75116 PARIS-16",3.1,75116
M1201,MEILLEUR TAUX,"Service des ressources humaines,  COURS COMMANDANT FRATACCI, 76600 LE-HAVRE",4.0,76600
M1201,SOCIETE GENERALE,"Service des ressources humaines, 17 C VALMY, 92800 PUTEAUX",4.5,92800
M1201,LAGRANGE,"Service des ressources humaines, 27 RUE BOSSUET, 69006 LYON-06",4.4,69006
M1201,WCS,"13 RUE ALFRED KASTLER, 71530 FRAGNES-LA-LOYERE",3.8,71530
M1201,KYANEOS ASSET MANAGEMENT,"8 RUE D ANNANELLE, 84000 AVIGNON",3.6,84000
M1201,ERNST ET YOUNG ADVISORY,"Service des ressources humaines, 1 PL DES SAISONS, 92400 COURBEVOIE",3.1,92400
M1201,SOCIETE FINANCIERE DE DEVELOPPEMENT DE L,"Service des ressources humaines, 303 SQ DES CHAMPS ELYSEES, 91080 EVRY",3.3,91080
M1201,HOPPS GROUP,"Service des ressources humaines, 1330 AV J R G GAUTIER DE LA LAUZIERE, 13290 AIX-EN-PROVENCE",4.3,13290
M1201,COFIDIS*,"Service des ressources humaines, 61 AVENUE HALLEY, 59650 VILLENEUVE-D-ASCQ",4.5,59650
M1201,CREDIT DU NORD RAMBOUILLET,"Service des ressources humaines, 28 PLACE RIHOUR, 59800 LILLE",3.1,59800
M1803,MANPOWER (LOUVIERS),"16 RUE DU CORNU, 27400 LOUVIERS",2.5,27400
M1803,MANPOWER (EUROPE),"118 BOULEVARD DE L EUROPE, 76100 ROUEN",2.5,76100
